,siteName,siteLat,siteLon,siteLandCover,H_DCA,H_insitu,H_Tbh,H_Tbv,H_Teff,MI_dca_insitu,MI_hv_dca,MI_hv_temp_insitu,U_h,U_v,S,R_s,corrSM,corrHV,mean_LAI,std_LAI,numPoints,range
37,NM_Socorro_20_N,34.36,-106.89,Grasslands,0.39487046669027853,0.32697461021487795,0.38160306622014034,0.3748029312725613,0.36054011603293606,0.01991114448686504,0.11857382823708451,0.12076811565872414,0.028390487328490848,0.016984344256793887,0.05461398379398359,0.01858501285781618,0.1854795872844896,0.9701743716412435,0.21154276018099574,0.10967579185520365,995,18.048313022019276
38,OK_Goodwell_2_E,36.6,-101.59,Grasslands,0.37518824271522627,0.3717857576052311,0.3884747882464183,0.38613669608628903,0.3576983758034047,0.04394217919531551,0.14367646319657668,0.17966973311929346,0.04707446014800376,0.028080828896025145,0.030446049048466706,0.038075125104081065,0.5713213444470218,0.9711008700814453,0.5552800453514736,0.2682877551020409,1169,18.87124674252917
39,OK_Goodwell_2_SE,36.57,-101.61,Grasslands,0.37488413653807456,0.3530889631818063,0.38797202915516216,0.37944837737734216,0.35720429671104953,0.04837501815403866,0.1410262509440967,0.1734970685652194,0.0451804481721193,0.026985073740332988,0.029100267658130563,0.039760461373513856,0.558784059904879,0.9709975683588088,0.5626256818181821,0.2915945454545454,1178,18.861708403038453
40,OK_Stillwater_2_W,36.12,-97.09,Grasslands,0.37743240583797294,0.37288597653919053,0.36408502619969935,0.36208097843987036,0.3471619963273875,0.1088957836327954,0.11014113791931768,0.1852648144779837,0.008744715307535997,0.008885236912500358,0.014962126281385782,0.07754905941789554,0.8535067337676021,0.9884797454766994,1.1074746575342471,0.3448349315068492,1546,22.667652046233222
41,OK_Stillwater_5_WNW,36.13,-97.11,Grasslands,0.3785056715036915,0.4087665139789918,0.362443325791929,0.3650783365523261,0.3530006909264094,0.10454042059715063,0.11456540239164337,0.21282642877246782,0.011180354644211271,0.010373741009034404,0.015890030212269007,0.07712127652612868,0.8437735555054631,0.9873653421282174,1.1035367579908675,0.3486525114155251,1630,23.29171143514247
42,SD_Buffalo_13_ESE,45.52,-103.3,Grasslands,0.37212630968789495,0.3289272526430719,0.3665140057218527,0.3670354489316775,0.3659639852755911,0.08082089585206542,0.17623735627472226,0.16582205499700198,0.02813590912472988,0.011556751765444934,0.014891035883832754,0.12165365950071469,0.7707480418035106,0.9808043904556669,0.6019985294117645,0.18209382352941167,1287,26.358972213021897
43,SD_Pierre_24_S,44.02,-100.35,Grasslands,0.38963631607435456,0.3644577572449591,0.3788457430429204,0.3857857912358636,0.3650454627484472,0.06589194409410848,0.157828859045675,0.19013159573315264,0.02803936957739757,0.017956059290494222,0.019724120571622025,0.09210930960616119,0.7339195794638952,0.9727155615242115,0.8466979228486652,0.3316204747774483,1215,25.776693926524725
44,TX_Bronte_11_NNE,32.04,-100.25,Grasslands,0.3591514510438208,0.341200313140841,0.35020011839159604,0.3636590260306391,0.3605432965830883,0.0972523910093448,0.15879190880735483,0.16951758477246526,0.026430415378171437,0.006120023943330846,0.011942693068451679,0.11429877641740087,0.8386121350263716,0.9877492879852131,0.6621914027149322,0.2036142533936652,1393,21.845660590988565
45,TX_Monahans_6_ENE,31.62,-102.81,Shrublands,0.388325692126022,0.3393732775463135,0.38789854977109195,0.37893398006438067,0.3573055062445209,0.05590147751687291,0.13357581645233252,0.1528081808021129,0.04591302456489804,0.02412573386436051,0.029955666146994575,0.03358139187607939,0.6791349804897968,0.9677798524266855,0.3646203579418345,0.0914467561521252,1517,20.210271333657996
46,TX_Muleshoe_19_S,33.96,-102.77,Grasslands,0.3716196007352801,0.3858072905456231,0.38578638582094893,0.371838630874908,0.35713363793240915,0.05116596781750893,0.1424998327252628,0.17473121393120938,0.05498806975951842,0.027326901419105206,0.029563199407231736,0.030621662139407427,0.5535530346159131,0.9657035526497998,0.4707663677130045,0.18034282511210772,1208,18.8465260511992
47,TX_Panther_Junction_2_N,29.35,-103.21,Shrublands,0.4134815351308341,0.37828449067789,0.39815569839756804,0.3870151000378679,0.3659058693626118,0.054696059289606525,0.12632052870903732,0.17273559476635447,0.03414975111477319,0.021482592814949623,0.030009726301393154,0.04067845847792135,0.6599931012335875,0.9806825017483315,0.25420921348314607,0.11483123595505627,1541,18.090506086405185
48,WY_Sundance_8_NNW,44.52,-104.44,Grasslands,0.374745420703433,0.36979788899717025,0.35211918804006537,0.3582847339005678,0.3700149451534496,0.08426734929559865,0.12293895192588344,0.18202672154966115,0.01675704501683256,0.007948842768929099,0.012227872145775642,0.08600519199434614,0.7971920754052207,0.9842795879454298,1.1945314102564104,0.6384435897435898,979,18.1326678610189
49,TX_Austin_33_NW,30.62,-98.08,Grasslands,0.3518260688119573,0.34156585768731934,0.33902107739110754,0.35356357783681874,0.36811478554993515,0.10982057013513391,0.13238309324749897,0.1759809329832578,0.006247122949834552,0.005547707429636631,0.011322900606978922,0.10926536226104887,0.8853003062842213,0.9905277557466301,1.0392144827586216,0.32783448275862065,1160,19.899225984770677
50,TX_Edinburg_17_NNE,26.53,-98.06,Grasslands,0.36496440157797233,0.36097807783424524,0.3679678518766969,0.38136817554547964,0.375898508829857,0.04923873033755366,0.1323392677067956,0.17937885146938826,0.029028676824264882,0.015617822846942436,0.019268659121329162,0.06842410891425912,0.6461959436098955,0.9773609159048289,0.8320174940898346,0.3479465721040192,1534,16.929725537555004
51,TX_Palestine_6_WNW,31.78,-95.72,Savannas,0.29129488691968053,0.31898738053436193,0.33740783388522677,0.34031345244210576,0.3700751926225156,0.13525754168874454,0.14432224654132386,0.17672111027833703,0.0036016406630068887,0.003535334104543708,0.00772040212524111,0.12946486964853215,0.9138259211170288,0.9935320025485026,1.7670083532219565,0.6582575178997614,377,14.925973866915513
52,CO_Cortez_8_SE,37.26,-108.5,Grasslands,0.3728187638527827,0.33018527282533516,0.3754750901307831,0.3826093980350087,0.37248066584280937,0.04823267238451656,0.12533953231488715,0.16654221343986753,0.03185832852276564,0.011878430566082551,0.017760874590003153,0.0638418986360358,0.5773909061252697,0.9829822152415884,0.5163493438320215,0.23710262467191606,1025,12.75210967273247
53,CO_Dinosaur_2_E,40.24,-108.97,Grasslands,0.3765761846766075,0.35675128625638575,0.3669834944699313,0.362617191075866,0.3783288443162504,0.05143121710440923,0.13806627676952954,0.16027084046033435,0.03167003092698151,0.00854811201997363,0.014886338103119012,0.08296179571945539,0.5818952180200918,0.987922734265554,0.33311292134831466,0.1725356741573033,942,14.623684731258708
54,WY_Lander_11_SSE,42.68,-108.67,Grasslands,0.34024748541586586,0.32815864991757304,0.3492657124573703,0.35923876147839895,0.3776622527140451,0.09236742708474899,0.14910433840285697,0.16837061480217697,0.02345594517635749,0.005288424679616738,0.010578641721677023,0.10978132682520572,0.7980004574214072,0.9896138915287213,0.5554248344370859,0.2843099337748346,876,19.123192303801236
55,ND_Medora_7_E,46.89,-103.38,Grasslands,0.3817901298291474,0.3567168419947474,0.36348774095667713,0.3643794238258013,0.3722645421794798,0.07672484755111486,0.16214373955872774,0.1874041329008277,0.030256862694088726,0.011838344014332314,0.015284715619533873,0.10476381723077283,0.7664634531741519,0.9799234545789565,0.6279496932515334,0.24975153374233172,1175,24.387897286922374
56,MT_Dillon_18_WSW,45.16,-113.01,Grasslands,0.35618657979963547,0.3518399617811631,0.3445705922784145,0.35504039077011584,0.3904350645275339,0.08071417687888427,0.1389799604504972,0.17869443620623227,0.017987915573126706,0.005994036072790226,0.011034773109914103,0.10396323569466617,0.7401822845142383,0.9874683222618987,0.5905566666666664,0.40226666666666666,589,14.946570456331573
57,MT_St._Mary_1_SSW,48.74,-113.43,Grasslands,0.3556810554450451,0.3267914190053783,0.3523064517908867,0.3720546010868574,0.3853525922077917,0.0754401949527772,0.13280775396588396,0.18896022127716083,0.023065576363371004,0.01085230378101984,0.015904219383085533,0.08298565443840758,0.7842277010347724,0.9783212548464737,1.0970582914572868,0.7529497487437186,467,11.26449918236416
