,sitename,site_ID,links
76,NY_Millbrook_3_W,site_76,https://modis.ornl.gov/subsetdata/04Jan2021_14:39:08_603841339L41.79L-73.74S17L17_MCD15A3H_site_76/csv/12q1.csv
77,OH_Coshocton_8_NNE,site_77,https://modis.ornl.gov/subsetdata/04Jan2021_14:39:20_419745015L40.37L-81.78S17L17_MCD15A3H_site_77/csv/12q1.csv
78,OH_Wooster_3_SSE,site_78,https://modis.ornl.gov/subsetdata/04Jan2021_14:39:27_613585997L40.76L-81.91S17L17_MCD15A3H_site_78/csv/12q1.csv
79,OK_Goodwell_2_E,site_79,https://modis.ornl.gov/subsetdata/04Jan2021_14:39:36_907921670L36.6L-101.59S17L17_MCD15A3H_site_79/csv/12q1.csv
80,OK_Goodwell_2_SE,site_80,https://modis.ornl.gov/subsetdata/04Jan2021_14:39:45_335689982L36.57L-101.61S17L17_MCD15A3H_site_80/csv/12q1.csv
81,OK_Stillwater_2_W,site_81,https://modis.ornl.gov/subsetdata/04Jan2021_14:39:54_452013136L36.12L-97.09S17L17_MCD15A3H_site_81/csv/12q1.csv
82,OK_Stillwater_5_WNW,site_82,https://modis.ornl.gov/subsetdata/04Jan2021_14:40:07_043414377L36.13L-97.11S17L17_MCD15A3H_site_82/csv/12q1.csv
83,OR_Coos_Bay_8_SW,site_83,https://modis.ornl.gov/subsetdata/04Jan2021_14:40:14_785953838L43.27L-124.32S17L17_MCD15A3H_site_83/csv/12q1.csv
84,OR_Corvallis_10_SSW,site_84,https://modis.ornl.gov/subsetdata/04Jan2021_14:40:20_412736017L44.42L-123.33S17L17_MCD15A3H_site_84/csv/12q1.csv
85,OR_John_Day_35_WNW,site_85,https://modis.ornl.gov/subsetdata/04Jan2021_14:40:26_962481020L44.56L-119.65S17L17_MCD15A3H_site_85/csv/12q1.csv
86,OR_Riley_10_WSW,site_86,https://modis.ornl.gov/subsetdata/04Jan2021_14:40:38_198954057L43.47L-119.69S17L17_MCD15A3H_site_86/csv/12q1.csv
87,PA_Avondale_2_N,site_87,https://modis.ornl.gov/subsetdata/04Jan2021_14:40:54_283969585L39.86L-75.79S17L17_MCD15A3H_site_87/csv/12q1.csv
88,RI_Kingston_1_NW,site_88,https://modis.ornl.gov/subsetdata/04Jan2021_14:41:04_404713003L41.49L-71.54S17L17_MCD15A3H_site_88/csv/12q1.csv
89,RI_Kingston_1_W,site_89,https://modis.ornl.gov/subsetdata/04Jan2021_14:41:13_418861121L41.48L-71.54S17L17_MCD15A3H_site_89/csv/12q1.csv
90,SC_Blackville_3_W,site_90,https://modis.ornl.gov/subsetdata/04Jan2021_14:41:19_924698378L33.36L-81.33S17L17_MCD15A3H_site_90/csv/12q1.csv
91,SC_McClellanville_7_NE,site_91,https://modis.ornl.gov/subsetdata/04Jan2021_14:41:28_935660191L33.15L-79.36S17L17_MCD15A3H_site_91/csv/12q1.csv
92,SD_Aberdeen_35_WNW,site_92,https://modis.ornl.gov/subsetdata/04Jan2021_14:41:40_934014590L45.71L-99.13S17L17_MCD15A3H_site_92/csv/12q1.csv
93,SD_Buffalo_13_ESE,site_93,https://modis.ornl.gov/subsetdata/04Jan2021_14:41:51_565843480L45.52L-103.3S17L17_MCD15A3H_site_93/csv/12q1.csv
94,SD_Pierre_24_S,site_94,https://modis.ornl.gov/subsetdata/04Jan2021_14:41:56_097574257L44.02L-100.35S17L17_MCD15A3H_site_94/csv/12q1.csv
95,SD_Sioux_Falls_14_NNE,site_95,https://modis.ornl.gov/subsetdata/04Jan2021_14:42:09_535867651L43.73L-96.62S17L17_MCD15A3H_site_95/csv/12q1.csv
96,TN_Crossville_7_NW,site_96,https://modis.ornl.gov/subsetdata/04Jan2021_14:42:16_446560332L36.01L-85.13S17L17_MCD15A3H_site_96/csv/12q1.csv
97,TX_Austin_33_NW,site_97,https://modis.ornl.gov/subsetdata/04Jan2021_14:42:20_737659109L30.62L-98.08S17L17_MCD15A3H_site_97/csv/12q1.csv
98,TX_Bronte_11_NNE,site_98,https://modis.ornl.gov/subsetdata/04Jan2021_14:42:32_073353712L32.04L-100.25S17L17_MCD15A3H_site_98/csv/12q1.csv
99,TX_Edinburg_17_NNE,site_99,https://modis.ornl.gov/subsetdata/04Jan2021_14:42:45_741520267L26.53L-98.06S17L17_MCD15A3H_site_99/csv/12q1.csv
100,TX_Monahans_6_ENE,site_100,https://modis.ornl.gov/subsetdata/04Jan2021_14:42:52_670420743L31.62L-102.81S17L17_MCD15A3H_site_100/csv/12q1.csv
101,TX_Muleshoe_19_S,site_101,https://modis.ornl.gov/subsetdata/04Jan2021_14:42:59_242008952L33.96L-102.77S17L17_MCD15A3H_site_101/csv/12q1.csv
102,TX_Palestine_6_WNW,site_102,https://modis.ornl.gov/subsetdata/04Jan2021_14:43:09_095935364L31.78L-95.72S17L17_MCD15A3H_site_102/csv/12q1.csv
103,TX_Panther_Junction_2_N,site_103,https://modis.ornl.gov/subsetdata/04Jan2021_14:43:21_058744932L29.35L-103.21S17L17_MCD15A3H_site_103/csv/12q1.csv
104,TX_Port_Aransas_32_NNE,site_104,https://modis.ornl.gov/subsetdata/04Jan2021_14:43:29_381500625L28.3L-96.82S17L17_MCD15A3H_site_104/csv/12q1.csv
105,UT_Brigham_City_28_WNW,site_105,https://modis.ornl.gov/subsetdata/04Jan2021_14:43:36_827496198L41.62L-112.54S17L17_MCD15A3H_site_105/csv/12q1.csv
106,VA_Cape_Charles_5_ENE,site_106,https://modis.ornl.gov/subsetdata/04Jan2021_14:43:49_307417437L37.29L-75.93S17L17_MCD15A3H_site_106/csv/12q1.csv
107,VA_Charlottesville_2_SSE,site_107,https://modis.ornl.gov/subsetdata/04Jan2021_14:44:01_927301913L38.0L-78.47S17L17_MCD15A3H_site_107/csv/12q1.csv
108,WA_Darrington_21_NNE,site_108,https://modis.ornl.gov/subsetdata/04Jan2021_14:44:09_838082440L48.54L-121.45S17L17_MCD15A3H_site_108/csv/12q1.csv
109,WA_Quinault_4_NE,site_109,https://modis.ornl.gov/subsetdata/04Jan2021_14:44:19_474164524L47.51L-123.81S17L17_MCD15A3H_site_109/csv/12q1.csv
110,WA_Spokane_17_SSW,site_110,https://modis.ornl.gov/subsetdata/04Jan2021_14:44:28_688066262L47.42L-117.53S17L17_MCD15A3H_site_110/csv/12q1.csv
111,WI_Necedah_5_WNW,site_111,https://modis.ornl.gov/subsetdata/04Jan2021_14:44:36_814132865L44.06L-90.17S17L17_MCD15A3H_site_111/csv/12q1.csv
112,WV_Elkins_21_ENE,site_112,https://modis.ornl.gov/subsetdata/04Jan2021_14:44:46_532032861L39.01L-79.47S17L17_MCD15A3H_site_112/csv/12q1.csv
113,WY_Lander_11_SSE,site_113,https://modis.ornl.gov/subsetdata/04Jan2021_14:44:54_316794563L42.68L-108.67S17L17_MCD15A3H_site_113/csv/12q1.csv
114,WY_Moose_1_NNE,site_114,https://modis.ornl.gov/subsetdata/04Jan2021_14:45:06_563224354L43.66L-110.71S17L17_MCD15A3H_site_114/csv/12q1.csv
115,WY_Sundance_8_NNW,site_115,https://modis.ornl.gov/subsetdata/04Jan2021_14:45:11_676263633L44.52L-104.44S17L17_MCD15A3H_site_115/csv/12q1.csv
